폐기물처분부담금_올바로폐기물정보	폐기물처분부담금시스템 내 등록되어진 데이터로 폐기물처분부담금 신고를 위한 폐기물분류코드를 제공하는 정보.
폐기물처분부담금_정보이력	폐기물처분부담금관리시스템에 등록되어진 데이터로서 폐기물처분부담금 신고를 위한 정보에 대해서 제공하는 자료.
폐기물처분부담금_폐기물분류및sms내역	폐기물처분부담금관리시스템 내 등록되어진 데이터로 폐기물처분부담금신고를 위한 폐기물분류코드 등록 및 그에 따른 신고한 부분에 대한 SMS 전송내역을 제공하는 자료.
폐기물처분부담금_시군구소각매립	폐기물처분부담금관리시스템 내 등록된 데이터로 폐기물처분부담금 시ㆍ군ㆍ구 정보 등록 조회 하는 데이터 자료.
폐기물처분부담금_신고정보	폐기물처분부담금시스템 내에 등록한 데이터로 폐기물처분부담금 정기, 수시 신고한 내역에 대한 정보를 제공.
수질오염경보이력	이동설치가 용이한 이동형측정기기를 수질오염사고 예상 지점 및 사고 발생지점에 설치하여 측정소별 자체적으로 정한 기준을 초과한 경우의 측정값 및 경보이력.
실내공기질 사용자 정보	한국환경공단에서 운영하는 실내공기질 관리 종합정보망(www. inair. or. kr)에 등록된 측정대행업체 목록 정보를 제공.
실내공기질 관리 종합정보망 관리용정보	한국환경공단에서 운영하는 실내공기질 관리 종합정보망(www. inair. or. kr)에 등록된 시스템 관련 정보를 제공.
실내공기질 관리 종합정보망 공지사항	한국환경공단에서 운영하는 실내공기질 관리 종합정보망(www. inair. or. kr)에 등록된 공지사항 목록 정보를 제공.
건축자재 사전적합확인 제도 관련 정보	건축자재 사전적합성 제도의 도입에 따라 다중이용시설 및 100세대 이상 500세대 미만에 해당하는 공동주택에 대해 실내공기질에 영향을 미칠 가능성이 있는 6개 건축자재제품(바닥재, 벽지, 실란트, 접착제, 퍼티, 페인트) 중 3개 물질(휘발성유기화합물(VOCs), 톨루엔, 폼알데하이드)의 확인시험 결과를 포함하고 있음.
항공기소음 정보	항공기소음 자동측정망을 통해 전송한 데이터를 공항, 지점, 주소 등의 형태로 월별 평균값(wecpnl)을 집계하여 제공.
층간소음 지역별 온라인 현장진단 건수	한국환경공단 층간소음 이웃사이센터를 통해 접수된 온라인 신청현황을 17개 광역시도 지역별로 집계한 건수를 제공.
비점오염원_기상청 자료 정보	비점오염저감시설의 강우 기초자료 확보를 위한 데이터로서 기상청 API를 활용한 주소 좌표별 기상 정보를 제공.
연도별 월별 의료폐기물 발생량	2018년~2020년6월까지의 의료폐기물 발생량 데이터* 올바로시스템 인계서 기준으로 작성하였으며, 자가처리(멸균분쇄 및 수처리) 제외한 데이터임.
재활용지정사업자 재활용실적	재활용지정사업자 재활용실적: 폐지, 폐유리, 철스크랩 등 재활용가능자원을 효율적으로 이용하기 위하여 재활용 지정사업자의 연간 이용목표율 대비 재활용 실적을 파악.
석면조사대상건축물현황(공공건축물)	연면적 500㎡ 이상의 공공건축물의 대한 석면건축물 현황. 조사기관, 주소, 기관명, 석면건축물여부(석면건축물 50㎡ 이상 건축물), 석면자재면적 등의 정보를 제공.
소음 측정망 지점 정보	한국환경공단에서 운영하는 국가소음자동측정망 중 환경소음(자동) 측정지점에 대한 상세한 정보(지점명, 주소 등)를 제공.
사업장일반폐기물 배출 사업장 정보	사업장일반폐기물 배출사업장정보 및 배출량(시도, 시군구, 업체명, 연락처, 폐기물구분, 폐기물명, 발생량(톤)).
신축공동주택 자가측정정보	한국환경공단에서 운영하는 실내공기질 관리 종합정보망에 등록된 신축공동주택의 자가측정 목록 정보를 제공.
신축공동주택 관련정보	한국환경공단에서 운영하는 실내공기질 관리 종합정보망에 등록된 신축공동주택 오염도검사 목록 정보를 제공.
비점오염원_모니터링 설계 기준 예시 정보	국가 사업으로 추진중인 비점오염저감 국고보조사업 시설의 모니터링 설계 기준에 대한 데이터로서 유입과 유출 설계 예시 자료를 제공. BOD : 생화학적 산소요구량COD : 화학적 산소요구량SS : 부유물질TN : 총질소TP : 총인.
